district,year,pop
Bad Cannstatt,2023,70596
Birkach,2023,7201
Botnang,2023,12817
Degerloch,2023,16389
Feuerbach,2023,30691
Hedelfingen,2023,10275
Mitte,2023,23723
Möhringen,2023,34140
Mühlhausen,2023,25875
Münster,2023,6543
Nord,2023,27636
Obertürkheim,2023,8476
Ost,2023,48213
Plieningen,2023,13709
Sillenbuch,2023,23794
Stammheim,2023,12770
Süd,2023,43233
Untertürkheim,2023,16526
Vaihingen,2023,45915
Wangen,2023,9224
Weilimdorf,2023,31838
West,2023,52068
Zuffenhausen,2023,38740
